#{"t_start": 1763451131.075043, "env_id": null}
r,l,t
-2648.126946,7142,9.555564
-4301.155847,7142,18.054107
-3158.286444,7142,25.685878
-4895.597211,7142,33.580614
-2559.509402,7142,41.169995
-4854.838276,7142,49.110184
-3845.639732,7142,57.022462
-3510.020584,7142,76.576374
-6966.174723,7142,95.706295
-3789.524483,7142,114.171651
-4013.29644,7142,132.61088
-3264.917209,7142,151.201652
-4288.399464,7142,169.265204
-5999.628979,7142,187.43946
-4183.312225,7142,206.24171
-2517.153518,7142,224.406739
-3265.551669,7142,243.067847
-1695.299341,7142,261.265062
-1612.198939,7142,279.503594
-5587.193376,7142,297.879838
-1016.60376,7142,316.495783
-1355.600104,7142,335.207638
-1215.603068,7142,353.48349
-1100.033779,7142,371.918286
-1257.875099,7142,390.152254
-2693.584732,7142,408.807379
-2168.486833,7142,427.592295
-1893.184061,7142,445.893655
-749.510081,7142,464.316334
-806.579946,7142,482.66281
-673.816143,7142,501.106769
-164.655524,7142,519.389082
-244.072148,7142,537.738034
-708.512047,7142,556.322032
-442.660679,7142,574.474015
-406.802577,7142,592.747073
-872.383862,7142,610.899896
-515.636256,7142,629.122545
-966.818119,7142,647.491535
-415.266831,7142,665.704371
-2418.223885,7142,684.39816
-613.906763,7142,702.688276
-53.227153,7142,721.026973
230.406624,7142,739.2566
296.833569,7142,757.43952
-59.963429,7142,775.781658
79.603887,7142,794.319964
-322.368999,7142,812.66822
-1167.611394,7142,830.89283
-416.481191,7142,849.491622
380.935087,7142,868.230069
437.884884,7142,886.421302
-86.627756,7142,904.822187
-276.096018,7142,923.052394
1175.024771,7142,941.36831
386.53197,7142,959.624183
-5.054959,7142,978.342564
-712.129574,7142,997.24977
-1379.301647,7142,1015.987331
-103.592057,7142,1034.523247
-325.045712,7142,1052.882122
548.95391,7142,1071.437525
631.433352,7142,1089.795798
368.72171,7142,1108.258469
535.690912,7142,1126.801304
1250.466862,7142,1145.24756
296.587505,7142,1163.806434
493.723318,7142,1182.209287
698.023988,7142,1200.637279
-257.892796,7142,1219.174181
509.793916,7142,1237.613989
493.36707,7142,1256.136766
38.53472,7142,1274.907489
1173.64926,7142,1293.67857
286.187239,7142,1312.027237
589.882779,7142,1330.358627
813.425901,7142,1348.907649
793.883456,7142,1367.230649
651.748022,7142,1385.698693
1136.954803,7142,1404.077929
-275.630383,7142,1422.891259
281.48773,7142,1441.304147
797.795486,7142,1459.702956
627.579505,7142,1478.197145
319.990005,7142,1497.995917
-42.913329,7142,1518.291209
750.419857,7142,1537.585059
1146.661339,7142,1557.220809
-532.12057,7142,1577.606962
1798.620515,7142,1596.868642
2811.343918,7142,1615.544737
1389.128541,7142,1634.162307
82.146949,7142,1653.540487
1751.352992,7142,1672.027314
-750.324401,7142,1690.820502
1293.951819,7142,1709.991691
1330.433647,7142,1728.472675
2199.932275,7142,1747.071489
1625.001274,7142,1766.069185
147.956479,7142,1784.889822
1441.029668,7142,1803.537533
584.88553,7142,1822.010868
989.986683,7142,1841.173591
2225.095051,7142,1859.715122
818.209383,7142,1878.343301
662.795764,7142,1896.813744
1467.419155,7142,1915.3265
830.637472,7142,1933.989907
2157.684513,7142,1952.497475
1467.926982,7142,1971.104669
1522.895968,7142,1989.652375
1052.245931,7142,2008.60659
229.76801,7142,2028.707487
-40.399818,7142,2047.7229
-231.52019,7142,2066.677636
1409.976499,7142,2085.15007
1190.892931,7142,2103.809666
1138.267069,7142,2122.280152
1825.414804,7142,2140.723505
3051.355417,7142,2159.37112
1571.51786,7142,2177.963
1531.722183,7142,2197.083376
2144.820403,7142,2217.893013
3455.638463,7142,2239.024913
1879.048002,7142,2259.828346
2356.918473,7142,2281.15234
2677.47264,7142,2301.990397
-1656.758524,7142,2323.762755
1331.212882,7142,2344.942976
-309.137021,7142,2365.741242
2215.40888,7142,2387.282839
2499.719093,7142,2407.400958
69.769141,7142,2428.434302
2926.619866,7142,2450.701305
3896.981408,7142,2471.057697
1408.894978,7142,2491.888412
2056.194268,7142,2511.992491
1508.657261,7142,2532.137157
669.662654,7142,2552.410631
2108.018459,7142,2572.552932
1256.511573,7142,2592.332726
4798.875838,7142,2610.873466
2791.846303,7142,2629.804449
3649.83178,7142,2648.353192
2781.688151,7142,2666.888597
2451.369171,7142,2686.528138
1955.450375,7142,2705.924007
3742.756008,7142,2724.648407
4250.217559,7142,2743.512968
1328.36874,7142,2763.592968
-525.466292,7142,2783.909485
9550.307569,7142,2802.921129
4305.189022,7142,2821.937716
5359.185002,7142,2841.218194
5338.55974,7142,2861.989693
4845.541176,7142,2882.789841
2330.104268,7142,2902.986805
8051.36192,7142,2924.310474
5339.156402,7142,2946.28182
5068.105447,7142,2968.716703
4740.464749,7142,2988.659017
3938.840913,7142,3008.334116
1264.201469,7142,3027.294132
1995.019256,7142,3046.209456
4699.806122,7142,3065.136278
8276.553704,7142,3083.748049
350.274528,7142,3102.793475
5501.778789,7142,3121.409952
-225.195842,7142,3140.511001
5776.176742,7142,3159.186376
2310.101659,7142,3177.792486
3552.733567,7142,3196.497609
6609.624605,7142,3215.012439
4848.603674,7142,3233.696428
9701.044685,7142,3252.25918
5188.518168,7142,3270.861486
5228.611427,7142,3289.59529
5173.280287,7142,3308.20048
2820.525923,7142,3326.890611
2646.511774,7142,3346.136673
4657.538069,7142,3365.018888
2318.986368,7142,3383.592525
3597.249748,7142,3402.584775
5423.738561,7142,3421.851597
-288.061454,7142,3441.501001
5324.31919,7142,3460.995903
538.694692,7142,3481.376243
4632.173223,7142,3500.996272
4776.99789,7142,3519.65565
5875.905201,7142,3538.136871
400.695132,7142,3557.078123
7601.03609,7142,3575.554998
8030.196556,7142,3594.519203
2393.947894,7142,3613.307768
4184.124033,7142,3631.817115
4069.034525,7142,3650.464792
8689.755999,7142,3668.948444
4739.315517,7142,3689.412863
8237.415263,7142,3710.021529
1555.052073,7142,3728.94562
7379.526962,7142,3747.979065
5105.226085,7142,3766.439436
